,time,temperature,h1,h2,Uin,speed,friction
0,0.0,20.0,0.0,0.0,2.4823891630365127,0.9999999773315156,0.43910694775106357
1,1.0,19.12637692320775,2.4823891216597214,4.032818693269901e-08,2.468355618364558,0.711663360780844,0.32191285292572963
2,2.0,20.258572545712493,4.041575956340113,0.871755869666124,0.0,0.7071067811855933,0.4138592885602268
3,3.0,20.390156292136872,2.8498711605269373,1.9162904110175765,1.8965832890983723,0.7071067222287681,0.40661354245452946
4,4.0,20.68344004020657,3.641340120692212,2.7897382380052442,0.5793352284473253,0.7071067591902123,0.41722900948726976
5,5.0,22.89247161312076,3.067211127592899,3.618795076853983,2.0129762175432218,0.7071040113330906,0.5198215319163373
6,6.0,22.33028400114111,3.5997016028327486,4.686930583276455,0.6892580309237212,0.7071060237895374,0.3604374987772196
7,7.0,22.193130951708294,3.2440351447910167,5.233568397545116,1.6195866576802471,0.7070920828038615,0.4151424839922274
8,8.0,20.84839024971876,3.6228676540606566,5.918393721710875,0.628129311563919,0.7071048085840254,0.4464178526736853
9,9.0,20.68385712118214,3.0367750309548263,6.507280416113603,1.73599739323403,0.7068907435903243,0.42356518732564746
10,10.0,20.88939322712296,3.5862757193591204,7.0201828528023995,0.7246533366410202,0.707099604915481,0.47705496022228516
11,11.0,20.951101964888608,3.0306135073559686,7.567098737650111,1.5157185276773721,0.7065108645020176,0.4375850538447191
12,12.0,21.48526752338216,3.399215482111379,7.940667510060129,1.2154826566541517,0.7068734568777593,0.37409458513391797
13,13.0,21.455643898552566,3.4986969718537035,8.247534066094396,0.954981949466623,0.7069963469600051,0.2678248590642854
14,14.0,19.24782203666157,3.606527173268009,8.269254209846656,0.6712544882402851,0.7070682239018623,0.3435827563473089
15,15.0,16.87317884430846,3.2709235724220536,8.438927551955741,1.233577659593847,0.7044911114028503,0.3595887002630198
16,16.0,18.313927516692672,3.4751925705394613,8.616351783156121,1.0163952337343838,0.7035277696805587,0.3414082900837166
17,17.0,18.139396778788463,3.464407712054884,8.773838302916532,1.040626913108044,0.6919131888492256,0.3664326286097475
18,18.0,16.771555391976772,3.4222230726448175,8.969119703542264,1.0201093755110955,0.7631806765886947,0.28512205133999297
19,19.0,16.47640071863211,3.587198719206856,8.929996240731073,0.7201590947579938,0.7173970026440672,0.2896765506103572
20,20.0,16.457291585909942,3.422006198107346,8.922058394987072,0.9214984973891629,0.7219675604650595,0.36488753562808685
21,21.0,15.740560672054484,3.3139035161221106,9.052286118372194,0.9839143168926119,0.7412143716552975,0.3135136451610251
22,22.0,16.315340427305784,3.416488080753866,9.029966406085235,0.9827861561359199,0.7897884196501741,0.28925888425487284
23,23.0,16.855076452377446,3.5683296682226913,8.961968882099201,0.7434717443220948,0.7446541309329406,0.38947676731275094
24,24.0,15.936934350905911,3.2160428031518506,9.150076748978327,0.8429433630147647,0.6952248942116293,0.3265893218685952
25,25.0,14.697102581417536,3.215582488767663,9.081934632063932,0.9016249159214591,0.6907543464696649,0.35103774696871815
26,26.0,13.956465019166076,3.212593834464981,9.078514656241222,0.9403625737793135,0.6880013331195906,0.2795317764633583
27,27.0,14.233454513505302,3.390150351170181,8.941131793314987,0.9630003088029322,0.6854572902337644,0.278416461526676
28,28.0,15.25072224806146,3.5221346050061757,8.881586921390397,0.8898073227702049,0.6931701408252512,0.3501551381289897
29,29.0,14.163170273127932,3.3762975671765827,9.021246954658215,0.9027938908804392,0.679149750100393,0.31076579239526925
30,30.0,13.427702987887487,3.393807212457074,9.005293353542426,0.9109454859763212,0.6768122864205883,0.28010628925537556
31,31.0,13.790819427395963,3.481360403341348,8.932218381714542,0.9181700547453608,0.6769510610646655,0.2870470191779107
32,32.0,15.036505956086826,3.5242704073092717,8.915294563850413,0.8741436062975956,0.6797886930289367,0.30843461650701787
33,33.0,14.377946413926386,3.463854070165404,8.955988452123398,0.8933975192303283,0.6774696883052974,0.24794836029893916
34,34.0,15.589179225379317,3.589443643913614,8.834810566949548,0.715949993854056,0.7028011707992811,0.3777930294225627
35,35.0,17.024705637975106,3.2216230013166554,9.023558986725606,0.8467204082798401,0.7034444009981118,0.3192758972670308
36,36.0,17.34879001984556,3.2359869497380407,8.957004110691889,0.9155383817258795,0.7004981975904724,0.26894069150419636
37,37.0,18.26311803720812,3.407016283056842,8.813730492215557,0.9508464527656886,0.6947707045249556,0.24588477346915583
38,38.0,17.00105705225505,3.6008657966931192,8.69603089134494,0.6861871233354644,0.7069324323352679,0.3108062168442171
39,39.0,14.79270434542504,3.353229133787862,8.756092862926291,0.9586078726787871,0.705635305134658,0.2497155155450564
40,40.0,13.823459609581178,3.562031495954834,8.637088033411153,0.7885110382819022,0.7071502169653328,0.3061675489091714
41,41.0,17.36827797841387,3.4207302121388237,8.699399289322567,0.9602704674928895,0.7049920729155204,0.3557394826727754
42,42.0,17.04404874018101,3.360427420986268,8.842459739958477,0.9813221827940521,0.6939184289250532,0.31177626839177947
43,43.0,15.991520665092368,3.4399541419309556,8.859492497786041,0.9938268284567361,0.6865845204813904,0.3845470591635913
44,44.0,14.813662824252068,3.3370540171071115,9.05954913211385,0.9855376153437293,0.7692556087580161,0.27150464799472507
45,45.0,15.421570893592808,3.5427465857993163,8.940274018012053,0.81649265178595,0.7408230030802008,0.2518826948474296
46,46.0,15.2766880921153,3.5699534333628176,8.840694546524455,0.7669276827104353,0.7132357276016073,0.2512798208276036
47,47.0,13.071077181488544,3.5429877760013797,8.75478552999964,0.837946700636805,0.7011500727809772,0.16116782346320604
