,time,displacement,velocity,force,friction_0,wind
0,0.0,0.0,0.0,99.99999996936677,50.0,0.0
1,1.0,0.0968962010769755,0.1909001276838895,100.99999996936677,50.0,-0.0
2,2.0,0.3777156443660457,0.36849776119552907,101.99999996936677,50.0,0.0
3,3.0,0.8308988072541998,0.5360861754055405,102.99999996936677,50.0,-0.0
4,4.0,1.4476787054286737,0.6960266502978693,103.99999996936677,50.0,0.0
5,5.0,2.2213248653199487,0.8500716228274292,104.99999996936677,50.0,-0.0
6,6.0,3.146639193502714,0.9995585399208661,105.99999996936677,50.0,0.0
7,7.0,4.219606477034528,1.1455319040505516,106.99999996936677,50.0,-0.0
8,8.0,5.437144106711275,1.2888232316700623,107.99999996936677,50.0,-0.0
9,9.0,6.796917859660804,1.4301052185264775,108.99999996936677,50.0,-0.0
10,10.0,8.297203040645043,1.5699294962863743,109.99999996936677,50.0,0.0
11,11.0,9.936777641053851,1.7087536060909692,110.99999996936677,50.0,0.0
12,12.0,11.714838601296258,1.846960692835062,111.99999996936677,50.0,-0.0
13,13.0,13.630935060351375,1.9848741718451646,112.99999996936677,50.0,-0.0
14,14.0,15.68491447225813,2.1227688261421225,113.99999996936677,50.0,-0.0
15,15.0,17.876878398769485,2.2608793567890273,114.99999996936677,50.0,-0.0
16,16.0,20.207145908004087,2.3994070538637264,115.99999996936677,50.0,0.0
17,17.0,22.676222906501376,2.5385250779279014,116.99999996936677,50.0,0.0
18,18.0,25.284776185883292,2.678382696638101,117.99999996936677,50.0,0.0
19,19.0,28.03361132310172,2.8191087171358844,118.99999996936677,50.0,0.0
20,20.0,30.923653669329376,2.9608143053806355,119.99999996936677,50.0,-0.0
21,21.0,33.95593191409112,3.103595323088867,120.99999996936677,50.0,-0.0
22,22.0,37.13156378354415,3.247534285524957,121.99999996936677,50.0,-0.0
23,23.0,40.45174354358727,3.3927020156388066,122.99999996936677,50.0,0.0
24,24.0,43.91773104522453,3.5391590526692336,123.99999996936677,50.0,-0.0
25,25.0,47.53084203021763,3.6869568682567544,124.99999996936677,50.0,0.0
26,26.0,51.29243962356329,3.8361389101487458,125.99999996936677,50.0,-0.0
27,27.0,55.203926786344034,3.986741512950944,126.99999996936677,50.0,0.0
28,28.0,59.266739581408814,4.13879469958082,127.99999996936677,50.0,0.0
29,29.0,63.48234123532255,4.29232288036201,128.99999996936677,50.0,-0.0
30,30.0,67.8522168423198,4.447345470957382,129.99999996936677,50.0,-0.0
31,31.0,72.37786864367553,4.603877439592603,130.99999996936677,50.0,0.0
32,32.0,77.06081183297518,4.761929791868484,131.99999996936677,50.0,-0.0
33,33.0,81.9025708075183,4.92151000138684,132.99999996936677,50.0,0.0
34,34.0,86.90467586054402,5.082622391578966,133.99999996936677,50.0,0.0
35,35.0,92.06866013614646,5.245268478227381,134.99999996936677,50.0,-0.0
36,36.0,97.39605704411926,5.409447269649939,135.99999996936677,50.0,0.0
37,37.0,102.88839783674862,5.575155538276841,136.99999996936677,50.0,-0.0
38,38.0,108.54720953420215,5.742388058499019,137.99999996936677,50.0,-0.0
39,39.0,114.37401302153481,5.911137819617474,138.99999996936677,50.0,-0.0
40,40.0,120.37032134208172,6.081396215737878,139.99999996936677,50.0,0.0
41,41.0,126.53763824141376,6.2531532117673665,140.99999996936677,50.0,-0.0
42,42.0,132.87745674863592,6.42639749306748,141.99999996936677,50.0,-0.0
43,43.0,139.3912580343053,6.601116596177557,142.99999996936677,50.0,0.0
44,44.0,146.08051025524878,6.777297024956008,143.99999996936677,50.0,0.0
45,45.0,152.94666759547493,6.9549243529259535,144.99999996936677,50.0,0.0
46,46.0,159.99116939071982,7.133983313889329,145.99999996936677,50.0,-0.0
47,47.0,167.21543931880103,7.314457881451669,146.99999996936677,50.0,0.0
48,48.0,174.62088468209942,7.496331339398318,147.99999996936677,50.0,-0.0
49,49.0,182.2088957491325,7.679586343629779,148.99999996936677,50.0,-0.0
50,50.0,189.98084515357255,7.864204976688128,149.99999996936677,50.0,-0.0
51,51.0,197.9380873459775,8.050168795878891,150.99999996936677,50.0,0.0
52,52.0,206.08195809049394,8.23745887572359,151.99999996936677,50.0,-0.0
53,53.0,214.41377402149013,8.426055845828852,152.99999996936677,50.0,0.0
54,54.0,222.9348321378064,8.61593992276202,153.99999996936677,50.0,-0.0
55,55.0,231.64640949412288,8.807090941197831,154.99999996936677,50.0,-0.0
56,56.0,240.54976284024275,8.999488380478997,155.99999996936677,50.0,-0.0
57,57.0,249.64612815880585,9.193111385702569,156.99999996936677,50.0,0.0
58,58.0,258.93672045887786,9.387938791330654,157.99999996936677,50.0,0.0
59,59.0,268.42273343667995,9.58394913955379,158.99999996936677,50.0,-0.0
60,60.0,278.1053391923321,9.781120697726946,159.99999996936677,50.0,0.0
61,61.0,287.9856879632902,9.979431474343725,160.99999996936677,50.0,-0.0
62,62.0,298.0649078727963,10.17885923376947,161.99999996936677,50.0,-0.0
63,63.0,308.3441046779312,10.379381509613582,162.99999996936677,50.0,-0.0
64,64.0,318.824361562153,10.580975617953444,163.99999996936677,50.0,0.0
65,65.0,329.50673892983843,10.78361866958153,164.99999996936677,50.0,0.0
66,66.0,340.3922741982381,10.987287581338176,165.99999996936677,50.0,-0.0
67,67.0,351.4819816090801,11.191959087153528,166.99999996936677,50.0,-0.0
68,68.0,362.7768520510159,11.397609748695391,167.99999996936677,50.0,0.0
69,69.0,374.27785289254695,11.604215965700002,168.99999996936677,50.0,-0.0
70,70.0,385.98592782515334,11.811753986050197,169.99999996936677,50.0,0.0
71,71.0,397.90199671611435,12.020199915649393,170.99999996936677,50.0,-0.0
72,72.0,410.02695547253495,12.229529728169574,171.99999996936677,50.0,0.0
73,73.0,422.36167591223517,12.439719274626233,172.99999996936677,50.0,-0.0
74,74.0,434.90700564699455,12.650744292921994,173.99999996936677,50.0,-0.0
75,75.0,447.66376797389177,12.862580417298952,174.99999996936677,50.0,0.0
76,76.0,460.6327617763578,13.075203187752479,175.99999996936677,50.0,-0.0
77,77.0,473.8147614106575,13.288588059025054,176.99999996936677,50.0,0.0
78,78.0,487.2105166998972,13.502710411198395,177.99999996936677,50.0,-0.0
79,79.0,500.82075278660915,13.717545557761445,178.99999996936677,50.0,0.0
80,80.0,514.6461700976776,13.933068755411355,179.99999996936677,50.0,0.0
81,81.0,528.6874442922223,14.14925521340078,180.99999996936677,50.0,-0.0
82,82.0,542.9452262188271,14.366080102884018,181.99999996936677,50.0,-0.0
83,83.0,557.4201418821116,14.583518566261457,182.99999996936677,50.0,0.0
84,84.0,572.1127924186461,14.801545726520644,183.99999996936677,50.0,0.0
85,85.0,587.023754082202,15.020136696571047,184.99999996936677,50.0,-0.0
86,86.0,602.1535782383335,15.239266588568766,185.99999996936677,50.0,0.0
87,87.0,617.5027913682743,15.45891052322655,186.99999996936677,50.0,0.0
88,88.0,633.0718950820221,15.679043639101861,187.99999996936677,50.0,0.0
89,89.0,648.861366140423,15.89964110185448,188.99999996936677,50.0,0.0
90,90.0,664.8716564880145,16.120678113501583,189.99999996936677,50.0,-0.0
91,91.0,681.1031932933536,16.342129921600346,190.99999996936677,50.0,-0.0
92,92.0,697.5563789991304,16.56397182839858,191.99999996936677,50.0,-0.0
93,93.0,714.2315916039025,16.786179201244543,192.99999996936677,50.0,-0.0
94,94.0,731.1291840719066,17.008727477674814,193.99999996936677,50.0,-0.0
95,95.0,748.2494850599273,17.231592178359907,194.99999996936677,50.0,0.0
96,96.0,765.5927987900245,17.454748914679097,195.99999996936677,50.0,-0.0
97,97.0,783.1594051446715,17.678173397543507,196.99999996936677,50.0,0.0
98,98.0,800.9495597706521,17.90184144613269,197.99999996936677,50.0,-0.0
99,99.0,818.963494191661,18.125728996537536,198.99999996936677,50.0,0.0
100,100.0,837.2014159294948,18.349812110302555,199.99999996936677,50.0,0.0
101,101.0,855.6635086337343,18.574066982860824,200.99999996936677,50.0,-0.0
102,102.0,874.349932219801,18.79846995185478,201.99999996936677,50.0,-0.0
103,103.0,893.2608230152784,19.022997505336434,202.99999996936677,50.0,-0.0
104,104.0,912.3962939143686,19.24762628984045,203.99999996936677,50.0,-0.0
105,105.0,931.7564345403576,19.47233311832389,204.99999996936677,50.0,0.0
106,106.0,951.341311415949,19.697094977966596,205.99999996936677,50.0,-0.0
107,107.0,971.1509681413283,19.921889037826244,206.99999996936677,50.0,0.0
