,time,temperature,displacement,velocity,force,friction_0,wind
0,0.0,20.0,0.0,0.0,79.01853919722588,40.798334367510364,-0.0
1,1.0,21.39519832360722,0.07698933757985854,0.15206180128000768,155.4916566767313,50.72512951036104,0.0
2,2.0,22.31597415406649,0.3734462870616387,0.4372526142149219,228.27070898147844,57.34215523933029,0.0
3,3.0,21.739175400459608,1.0140488561335708,0.8398602506856492,296.4375140903787,64.01664383356523,-0.0
4,4.0,21.42410435043335,2.109672139596596,1.3476974386144922,359.3854400011391,70.43858229020313,0.0
5,5.0,20.12166990002876,3.7611359414768923,1.9524077001210327,416.8203137320598,44.489605283338925,0.0
6,6.0,20.63394196334559,6.090317291931752,2.7047232412005497,468.5429948436493,51.022483601637475,0.0
7,7.0,21.09896230578278,9.214196418409259,3.5422036019239265,514.6429947482528,59.663208707004834,0.0
8,8.0,19.52831823880032,13.21103551814719,4.450866620993192,555.3151801433839,39.169346150168714,0.0
9,9.0,18.98350958913689,18.175821940698633,5.478232295430694,590.652531530747,32.054383036567806,-0.0
10,10.0,19.074341338548255,24.208940067591147,6.587478981453988,620.8484660854792,48.733428267176215,0.0
11,11.0,19.62908845307693,31.363182931506163,7.720391556306838,646.2314345433412,62.03958931543019,-0.0
12,12.0,18.015980875711175,39.660478282911534,8.873484367679357,667.112555681872,28.292640008686323,-0.0
13,13.0,17.392602747901634,49.16317972963022,10.131032457076657,683.5734157667798,27.92080954949408,0.0
14,14.0,17.042029144325678,59.93746485576348,11.41651160084307,695.8754480201969,32.1817051256427,0.0
15,15.0,18.537364727210935,72.00206084248468,12.711522984613438,704.302773386898,46.07737403715552,-0.0
16,16.0,19.030436198952163,85.3526213661164,13.988335422661343,709.1815356801987,29.494573708860216,0.0
17,17.0,20.072241982183037,99.99750890855543,15.30001690335331,710.6876802849516,54.91971946762711,-0.0
18,18.0,22.07258686522471,115.92582938203005,16.555143353135325,709.1946434934232,77.72075465592764,-0.0
19,19.0,20.82036345199186,133.08049602008592,17.752668446074154,705.0476707952628,62.00108318413102,0.0
20,20.0,20.422944613239554,151.439570251463,18.963833208710753,698.4027883610244,49.01782436912867,0.0
21,21.0,21.221548056218076,171.01109386372727,20.177454850514085,689.4297328324296,58.93774476211334,0.0
22,22.0,22.535012353590954,191.77203319926878,21.342632215889616,678.3993246323417,60.86785239776327,-0.0
23,23.0,21.90601095504993,213.6797728804654,22.47101623621447,665.5357128494672,50.081980300338444,-0.0
24,24.0,21.92003713573035,236.70825726688474,23.584053850112404,650.9989041591684,78.52772655315782,-0.0
25,25.0,22.1375162909402,260.80118278124104,24.599983969707743,635.1165398494719,46.94844582219171,-0.0
26,26.0,22.3033478849348,285.92018171879545,25.636086031520204,617.9359503194286,57.42915602280703,-0.0
27,27.0,21.483899676683254,312.04188772816633,26.60545032338223,599.690216399636,52.992910394038056,0.0
28,28.0,19.68159996991968,339.1135299054888,27.535968053490528,580.5353125489213,50.606998724482544,0.0
29,29.0,20.09067809363935,367.09335126340756,28.421838942922566,560.6287330854365,65.79591240695818,0.0
30,30.0,21.78491884569834,395.91855487610883,29.226849830353824,540.194737981254,60.57845321005075,-0.0
31,31.0,22.395643803188218,425.5284374751934,29.991239318154594,519.355997151721,51.53393437850498,0.0
32,32.0,21.363923645338097,455.88591811271687,30.722078743792267,498.21180039862867,46.61397487255511,-0.0
33,33.0,19.795763886469413,486.953141247772,31.410782863838936,476.8730959685947,65.14650262399724,-0.0
34,34.0,19.336584448403205,518.664616292182,32.010758786604924,455.5425579367105,50.66982448102287,0.0
35,35.0,19.77523801716032,550.9650119289759,32.588650164328236,434.2681472477678,43.005240054230654,0.0
36,36.0,18.993938820310078,583.8256026448269,33.13121087537498,413.12281615270274,49.54449869392063,0.0
37,37.0,19.360642760347393,617.1972416970538,33.610881848455115,392.2332356166707,40.811267258080406,0.0
38,38.0,19.652794509673456,651.0328996698096,34.05931055883832,371.6510830853734,35.01589752276244,0.0
39,39.0,18.93370987201419,685.2989048387117,34.471653532614745,351.4350370065851,37.89072248743832,0.0
40,40.0,18.558051585887945,719.9511439231568,34.83190027283456,331.6740048090139,50.345747703234025,0.0
41,41.0,17.589697062252878,754.9288111938329,35.122680288742586,312.4882294160353,31.983949950865792,-0.0
42,42.0,17.31361749503407,790.1941840943911,35.40732145455019,293.8566410545031,44.533183633115875,-0.0
43,43.0,17.229709788254837,825.7109557978065,35.62564724898526,275.8868632409995,42.29567593111964,-0.0
44,44.0,17.445835816648497,861.4286861750708,35.809327606126224,258.6130346082349,35.2117740491697,0.0
45,45.0,17.513542508447046,897.3185083781926,35.969889796887315,242.04282691706317,35.63868969116295,-0.0
46,46.0,17.27267551012776,933.3507099578125,36.09418232766838,226.21139534790206,30.36518396773765,-0.0
47,47.0,16.2134203832476,969.4957112474768,36.195549865241745,211.1234873395556,35.12295029698049,-0.0
48,48.0,16.469335537988254,1005.7215302442753,36.2559264352452,196.82205569809793,30.926264154025976,-0.0
49,49.0,17.56574022735879,1041.9971909126425,36.29529053154409,183.3050195007774,48.616030201648854,-0.0
50,50.0,17.20194046632667,1078.2808614068565,36.27211188988254,170.65914287995503,50.11896951175248,-0.0
51,51.0,18.25451506696517,1114.5274659382908,36.22123300113002,158.89181866783625,45.52393638438041,0.0
52,52.0,16.375905541882293,1150.71646495725,36.1569367659422,147.9794676047119,35.75642097430222,-0.0
53,53.0,16.83642155055995,1186.840543022334,36.09139410839711,137.87375314827347,16.1224093061642,-0.0
54,54.0,17.042120161761073,1222.9090794639542,36.04579912944553,128.4835317282193,32.215400455340486,-0.0
55,55.0,16.35003726574555,1258.9070357298235,35.95036792173179,119.87317256427032,31.530618251310486,0.0
56,56.0,16.06261151291793,1294.8024359538633,35.84072397200363,112.026608906496,28.976324349013048,-0.0
57,57.0,16.164518522867773,1330.5837972830243,35.72231187536035,104.9169745786233,34.35192463560375,-0.0
58,58.0,16.781098569356704,1366.2352625900496,35.580991163104116,98.54959889159022,41.36547925236506,-0.0
59,59.0,17.038080430439155,1401.73320883123,35.41533573746093,92.93267436661615,40.54269050044473,-0.0
60,60.0,16.899337284784206,1437.062028440118,35.24275392824606,88.03617916761847,35.79620898317555,-0.0
61,61.0,16.06787579769784,1472.219462688777,35.07255662063113,83.81159063766738,26.53670294916889,-0.0
62,62.0,17.227817169737044,1507.213029032083,34.91498378094953,80.19088093445122,30.483252169757307,0.0
63,63.0,17.40803997719452,1542.0427115532302,34.74481921279743,77.1650282786336,33.53847801860289,-0.0
64,64.0,17.49108846976547,1576.6974878015938,34.565193151757626,74.71873982586726,40.86835641663415,0.0
65,65.0,15.482938574416227,1611.1642854094996,34.36890205838275,72.85343607760873,20.81377929589786,0.0
66,66.0,15.253173830960593,1645.4543820163601,34.211689638605215,71.44823661287789,25.321277156909897,0.0
67,67.0,14.501372469168253,1679.5825733563868,34.04511338603318,70.49570671975415,32.33526170047879,0.0
68,68.0,14.375795299441657,1713.5375169556905,33.86522518458415,69.99756676999043,36.73565342149871,-0.0
69,69.0,13.32760705003948,1747.3090465251657,33.67830031244779,69.9416619926449,47.921926404519226,-0.0
70,70.0,13.306289199311903,1780.88385803407,33.47183499566948,70.34415739289935,26.187452222219775,-0.0
71,71.0,13.4456734530927,1814.2757615889473,33.31236588236343,71.07343132160842,28.273511378276247,0.0
72,72.0,14.27063189193988,1847.5080215483035,33.15254677893368,72.11027070456821,44.18836300879361,-0.0
73,73.0,14.561861524086908,1880.5668297748468,32.96552665276885,73.49601535297805,38.6136041591899,0.0
74,74.0,14.590663048716175,1913.4469091975288,32.79504657235855,75.17273388832405,23.927572521802624,0.0
75,75.0,13.274287307117268,1946.1740297145222,32.65952223695216,77.04515216915158,16.225010966052757,-0.0
76,76.0,12.53448984036721,1978.776134124416,32.544962894159696,79.05476227018261,21.203858035920394,-0.0
77,77.0,11.376901556649438,2011.2615492102698,32.42615284092621,81.20254806231316,20.094555163509632,0.0
78,78.0,10.937270993414565,2043.6322483421711,32.3155103399582,83.46187775180046,9.564129545219785,-0.0
79,79.0,11.888105673477808,2075.9058252556633,32.23184264539915,85.76598908292783,19.874857941187898,-0.0
80,80.0,12.281002223853083,2108.0883625840615,32.133465679612996,88.14479696156016,23.927887232580428,-0.0
81,81.0,11.994795188130777,2140.171556168678,32.0331590190137,90.59799018253105,14.400267258321186,-0.0
82,82.0,11.269771462083234,2172.1670785055803,31.958062480503393,93.0649553499694,22.39228198148551,0.0
83,83.0,11.571627937066602,2204.082536162636,31.873052927373077,95.56689792263728,44.1832087029217,-0.0
84,84.0,11.646334571701582,2235.8943854300887,31.750932525683083,98.18421236735112,19.037699377609826,-0.0
85,85.0,12.604974522882571,2267.6126060878237,31.685659798071658,100.78330576865037,13.648283858570917,0.0
86,86.0,13.398904571722435,2299.2739625233653,31.637165020543122,103.32800395330244,31.054824917442744,-0.0
87,87.0,14.4098042131241,2330.872370813689,31.55983139737693,105.88588438549822,45.34860992461745,-0.0
88,88.0,15.720953192140966,2362.3823040850048,31.460266672402152,108.50564017341632,34.196453884623814,0.0
89,89.0,15.49676257105501,2393.8070742929463,31.3894369086768,111.11947789213409,26.263024896726506,-0.0
90,90.0,17.163684985656353,2425.172005187052,31.340536681707757,113.67895501993671,35.29288126325223,0.0
91,91.0,15.604348568882475,2456.481934650073,31.279461716589665,116.21458959301918,40.53261433467719,0.0
92,92.0,15.197563965044203,2487.7285203096903,31.21385911403866,118.73797077524083,50.88034076480089,-0.0
93,93.0,16.215704659305803,2518.902167579796,31.13361952245908,121.28249103849959,22.87474072199712,0.0
94,94.0,14.692960111975939,2550.0265376040506,31.115162480957515,123.70920835330705,23.664545209896286,-0.0
95,95.0,15.148144098398747,2581.134207102313,31.10021022460538,126.0176913575808,61.679410130107925,0.0
96,96.0,13.751151343331516,2612.1914847518956,31.014541205385225,128.37285300246793,41.39021452435079,-0.0
97,97.0,14.696926150322946,2643.1862224845404,30.97502339253785,130.66898328902496,19.96393137301576,-0.0
98,98.0,14.034029172623853,2674.1653260931153,30.983165748204364,132.80361043223147,32.73736123659749,-0.0
99,99.0,13.247632155596031,2705.1419267388032,30.97006495698951,134.83415785489214,21.03125131878996,0.0
100,100.0,12.447738607871905,2736.119189529309,30.98442836367708,136.70599106519674,14.85675721168367,-0.0
101,101.0,12.283326908144584,2767.118726313958,31.0145776398242,138.3939249197361,25.292469455638134,-0.0
102,102.0,12.28726442620949,2798.1394983617347,31.02693870353651,139.94906088636358,19.88833897103538,-0.0
103,103.0,13.115348166234304,2829.1794736326365,31.052953452824948,141.34934484683828,20.39465112489237,0.0
104,104.0,13.839793699351167,2860.246174814623,31.08038728700996,142.60132064696728,25.344618361556844,0.0
105,105.0,13.548880237547674,2891.336440673648,31.100099654782326,143.73143436560002,20.517079815314744,-0.0
106,106.0,14.839266243002658,2922.4522130379805,31.131374724520377,144.72161796212686,27.76612222024391,0.0
107,107.0,14.156462240936472,2953.5928155929505,31.149788569849836,145.60919518462933,30.508693259463787,-0.0
108,108.0,14.394307982825602,2984.749858646134,31.164264829063022,146.4093222559919,15.215382822603441,0.0
109,109.0,14.218314878342124,3015.9372965606735,31.21050682491594,147.056938503519,52.707204921283804,0.0
110,110.0,15.271468727271298,3047.1339844706554,31.182932202623014,147.72543272433654,34.585496008507,-0.0
111,111.0,15.542973878631969,3078.321991053429,31.193058350648027,148.32981189086485,37.592711082946366,0.0
112,112.0,15.995049386333724,3109.517662277967,31.19827257316617,148.8849781732663,38.86267601038259,-0.0
113,113.0,14.289890478622569,3140.7178004736284,31.201995260865896,149.39731036026953,51.73955150994837,-0.0
114,114.0,13.703115332293146,3171.909328414275,31.181108233266183,149.92409590458354,42.34220321311612,0.0
115,115.0,14.587835161115054,3203.0899912634563,31.180220077361092,150.4200488134558,29.755817278667504,-0.0
116,116.0,15.845085880197782,3234.2827941680957,31.205328316392308,150.82940175373372,34.89383291221409,0.0
117,117.0,15.187144248210453,3265.4958250739205,31.220698716345076,151.1791662826217,31.69472447220587,-0.0
118,118.0,14.628769348745092,3296.72765280529,31.242906020650505,151.45789378888435,16.20424157287508,0.0
119,119.0,14.94238950805311,3327.9972295020707,31.29612739643954,151.6012437092978,34.95735803361541,-0.0
120,120.0,13.593559415096532,3359.3011367720483,31.31165191617811,151.70125291377315,16.443270205514295,0.0
121,121.0,13.359467435319033,3390.638987851264,31.363932069737075,151.67915537630236,28.785841225257606,0.0
122,122.0,14.531457588361544,3422.016449950789,31.390930877341876,151.59860344074445,5.425862002599125,0.0
123,123.0,13.598735700955233,3453.4438948203556,31.46379086096544,151.3616585407446,31.136775520815952,0.0
124,124.0,12.381412175916436,3484.917866019128,31.48410487152517,151.09446156619427,18.833203215250716,0.0
125,125.0,12.068089658338755,3516.423989286211,31.528041616046806,150.74659588293954,29.10914417621688,0.0
126,126.0,11.487367290529532,3547.963169539375,31.55026764509424,150.37115587964925,18.158490476152526,0.0
127,127.0,11.542024622873003,3579.5349457995603,31.593186927038023,149.92406120717493,15.404052307575741,-0.0
128,128.0,12.726762708259196,3611.151637936353,31.640090185508882,149.4009715237417,29.036187478358237,0.0
129,129.0,11.820066008982685,3642.800817035329,31.658226294222295,148.87026981593547,36.078354218702806,0.0
130,130.0,12.39949249226133,3674.460467840595,31.661069349837337,148.3662639689917,26.3506878309387,-0.0
131,131.0,11.853708045304268,3706.132122328003,31.682190782665213,147.84685700748324,16.623530233224397,-0.0
132,132.0,11.421915341581267,3737.833914172406,31.721303271264958,147.27321434062125,16.972699373933533,0.0
133,133.0,12.049867937976472,3769.573625715159,31.758035543633564,146.65398408038754,18.630303763663502,-0.0
134,134.0,11.507603889550511,3801.3475455692405,31.78973133257883,146.00314617754518,31.955315641971062,0.0
135,135.0,12.457022877372887,3833.139029040764,31.79322734419512,145.38502013733262,44.170131541786894,-0.0
136,136.0,11.164900610644219,3864.9212115622986,31.771188861651048,144.85404289658936,20.754210238158723,0.0
137,137.0,10.992121710182106,3896.7042873815876,31.794907647392538,144.30360961401496,33.9103382037286,0.0
138,138.0,12.109790978618676,3928.4972733480995,31.791073310628057,143.7958642647745,17.874783601160622,0.0
139,139.0,13.0747409257509,3960.30190653263,31.818129970632715,143.25983918358082,36.93977056187035,-0.0
140,140.0,13.34188146789366,3992.1138978780136,31.80588059509818,142.7842169780595,14.920316052522596,-0.0
141,141.0,12.419550819071478,4023.9351673431706,31.836587669248807,142.27024648225475,2.8199563788812263,-0.0
142,142.0,13.251603673976046,4055.7984588538857,31.889872783217125,141.67040325874564,29.74972008063963,-0.0
